well_id,original
141667169,162.0
141667173,124.0
141667175,178.0
141667177,136.0
141667179,200.0
141667181,134.0
141667183,136.0
141667185,136.0
141667189,124.0
141667191,178.0
141667193,108.0
141667195,200.0
141667197,162.0
141667199,136.0
141667205,124.0
141667207,196.0
141667209,108.0
141667211,108.0
141667213,130.0
141667215,162.0
141667217,130.0
141667221,156.0
141667223,170.0
141667225,156.0
141667227,108.0
141667229,170.0
141667231,130.0
141667237,134.0
141667239,170.0
141667241,124.0
141667243,136.0
141667245,170.0
141667247,130.0
141667253,156.0
141667255,170.0
141667257,134.0
141667259,136.0
141667261,200.0
141667263,130.0
147712554,172.0
147712570,172.0
147712584,170.0
149052678,154.0
149052680,172.0
149052694,116.0
149052742,158.0
149052774,116.0
149052790,158.0
149052806,130.0
149052822,162.0
149052838,162.0
149052854,172.0
156434409,138.0
156434425,204.0
156434441,134.0
157772849,154.0
157772852,192.0
157772854,138.0
157772856,144.0
157772858,180.0
157772862,182.0
157772864,178.0
157772866,192.0
157772868,192.0
157772870,138.0
157772872,120.0
157772874,204.0
157772876,194.0
157772878,174.0
157772880,178.0
157772882,192.0
157772884,154.0
157772886,194.0
157772888,204.0
157772890,204.0
157772892,192.0
157772894,104.0
157772896,178.0
157772898,144.0
157772900,144.0
157772902,192.0
157772904,204.0
157772906,204.0
157772908,140.0
157772910,202.0
157772912,202.0
157772914,144.0
157772916,206.0
157772918,194.0
157772920,104.0
157772922,140.0
157772926,156.0
157772930,126.0
157772932,126.0
157772934,144.0
157772936,204.0
157772940,184.0
157772942,156.0
157772944,202.0
157772946,148.0
157772948,148.0
157772950,144.0
157772952,204.0
157772956,184.0
157772958,134.0
157772960,174.0
157772962,154.0
157772964,106.0
157772966,194.0
157772970,148.0
157772972,144.0
157772974,156.0
157772978,102.0
157772980,102.0
157772982,144.0
157772984,204.0
157772986,142.0
157772988,184.0
157772990,144.0
157772992,156.0
157772994,142.0
157772996,142.0
157772998,194.0
157773000,206.0
157773002,126.0
157773004,184.0
157773006,144.0
157773008,134.0
157773010,106.0
157773012,206.0
157773014,144.0
157773016,104.0
157773020,182.0
157773022,192.0
157773024,184.0
157773026,138.0
157773028,206.0
157773032,166.0
157773036,202.0
157773040,184.0
158158211,204.0
158158215,178.0
158158217,156.0
158158219,134.0
158158221,168.0
158158223,170.0
158158225,134.0
158158227,140.0
158158229,186.0
158158231,196.0
